order_placed_at_utc,order_category,item_count,actual_delivery_time_minutes,estimated_delivery_time_lower_minutes,estimated_delivery_time_upper_minutes,venue_location_h3_index,customer_location_h3_index,courier_supply_index,precipitation
2022-02-01T08:46:00.000000,Food delivery,1,19.25637038183431,25.0,35.0,881126d305fffff,881126d329fffff,1.94,0.4
2022-02-01T08:48:00.000000,Food delivery,2,33.37034321998011,45.0,55.0,881126d219fffff,881126d203fffff,1.92,0.4
2022-02-01T08:52:00.000000,Food delivery,1,47.55637038183431,25.0,35.0,881126d263fffff,881126d261fffff,1.94,0.4
2022-02-01T08:54:00.000000,Food delivery,1,82.5397037152343,30.0,40.0,881126d263fffff,881126d22dfffff,1.94,0.4
2022-02-01T08:55:00.000000,Food delivery,11,27.120445429038575,30.0,40.0,881126d33dfffff,881126d33bfffff,1.94,0.4
2022-02-01T08:57:00.000000,Food delivery,2,46.10367655338011,20.0,30.0,881126d069fffff,881126d06bfffff,1.92,0.4
2022-02-01T09:00:00.000000,Food delivery,1,23.78700988668011,25.0,35.0,881126d069fffff,881126d06bfffff,1.92,0.5
2022-02-01T09:01:00.000000,Food delivery,1,21.631195522435597,10.0,20.0,881126d349fffff,881126d34dfffff,1.9,0.5
2022-02-01T09:03:00.000000,Food delivery,1,17.735012125617363,25.0,35.0,881126d333fffff,881126d333fffff,1.88,0.5
2022-02-01T09:04:00.000000,Food delivery,1,30.802137278722263,15.0,25.0,881126d069fffff,881126d069fffff,1.86,0.5
2022-02-01T09:05:00.000000,Food delivery,1,28.811543618670807,25.0,35.0,881126d1ebfffff,881126d1e1fffff,1.87,0.5
2022-02-01T09:05:00.000000,Food delivery,1,42.08547061202226,30.0,40.0,881126d06bfffff,881126d009fffff,1.86,0.5
2022-02-01T09:07:00.000000,Food delivery,2,66.56012441926296,35.0,45.0,881126d339fffff,881126d335fffff,1.89,0.5
2022-02-01T09:08:00.000000,Retail,7,75.52777510698895,30.0,40.0,881126d209fffff,881126d203fffff,1.91,0.5
2022-02-01T09:09:00.000000,Food delivery,4,34.80637038183431,25.0,35.0,881126d33dfffff,881126d323fffff,1.94,0.5
2022-02-01T09:09:00.000000,Food delivery,1,30.20367655338011,30.0,40.0,881126d36bfffff,881126d369fffff,1.92,0.5
2022-02-01T09:15:00.000000,Food delivery,6,63.52987027772401,25.0,35.0,881126d345fffff,881126d305fffff,1.93,0.5
2022-02-01T09:17:00.000000,Food delivery,1,46.20829777311296,20.0,30.0,881126d06dfffff,881126d061fffff,1.93,0.5
2022-02-01T09:20:00.000000,Food delivery,4,56.563352580840764,40.0,50.0,881126d191fffff,881126d0b5fffff,1.93,0.5
2022-02-01T09:20:00.000000,Food delivery,1,29.123037048534307,35.0,45.0,881126d1c1fffff,881126d1c1fffff,1.94,0.5
2022-02-01T09:22:00.000000,Food delivery,1,25.803676553380107,15.0,35.0,881126d04dfffff,881126d04dfffff,1.92,0.5
2022-02-01T09:23:00.000000,Food delivery,3,53.717934790199955,35.0,45.0,881126d067fffff,881126d069fffff,1.9,0.5
2022-02-01T09:24:00.000000,Food delivery,1,59.73548485654813,30.0,40.0,881126d045fffff,881126d00dfffff,1.9,0.5
2022-02-01T09:25:00.000000,Food delivery,2,55.35215152324813,50.0,60.0,881126d33dfffff,881126d305fffff,1.9,0.5
2022-02-01T09:32:00.000000,Food delivery,2,44.63501212561736,55.0,65.0,881126d311fffff,881126d353fffff,1.88,0.5
2022-02-01T09:36:00.000000,Food delivery,11,95.27679936719484,40.0,50.0,881126d33dfffff,881126d33dfffff,1.87,0.5
2022-02-01T09:36:00.000000,Food delivery,1,42.86718801376849,35.0,45.0,881126d191fffff,881126d197fffff,1.88,0.5
2022-02-01T09:37:00.000000,Food delivery,2,39.110132700494844,25.0,35.0,881126d305fffff,881126d305fffff,1.87,0.5
2022-02-01T09:38:00.000000,Food delivery,1,74.15508171323934,40.0,50.0,881126d06dfffff,881126d06dfffff,1.86,0.5
2022-02-01T09:39:00.000000,Food delivery,3,57.29434342000703,35.0,45.0,881126d06dfffff,881126d063fffff,1.85,0.5
2022-02-01T09:39:00.000000,Food delivery,1,69.82767675330702,45.0,55.0,881126d219fffff,881126d253fffff,1.85,0.5
2022-02-01T09:39:00.000000,Food delivery,3,43.686735126035856,55.0,65.0,881126d1c1fffff,881126d197fffff,1.84,0.5
2022-02-01T09:41:00.000000,Food delivery,1,20.154193363497104,15.0,25.0,881126d33dfffff,881126d335fffff,1.83,0.5
2022-02-01T09:46:00.000000,Food delivery,2,106.89116404283725,60.0,70.0,881126d221fffff,881126d229fffff,1.8,0.5
2022-02-01T09:47:00.000000,Food delivery,6,92.21800320314804,35.0,45.0,881126d339fffff,881126d331fffff,1.78,0.5
2022-02-01T09:47:00.000000,Food delivery,1,56.2509035916561,40.0,50.0,881126d263fffff,881126d267fffff,1.79,0.5
2022-02-01T09:47:00.000000,Food delivery,1,78.3342369249561,50.0,60.0,881126d339fffff,881126d14bfffff,1.79,0.5
2022-02-01T09:48:00.000000,Food delivery,4,67.57449737613724,20.0,30.0,881126d335fffff,881126d149fffff,1.8,0.5
2022-02-01T09:48:00.000000,Food delivery,2,56.2342369249561,20.0,30.0,881126d061fffff,881126d061fffff,1.79,0.5
2022-02-01T09:50:00.000000,Food delivery,2,75.11486063000088,40.0,50.0,881126d339fffff,881126d315fffff,1.81,0.5
2022-02-01T09:54:00.000000,Food delivery,2,62.11486063000087,40.0,50.0,881126d191fffff,881126c35bfffff,1.81,0.5
2022-02-01T09:56:00.000000,Food delivery,1,96.4837994618428,50.0,60.0,881126d263fffff,881126d22bfffff,1.82,0.5
2022-02-01T09:58:00.000000,Retail,1,42.19466540230713,20.0,30.0,881126d335fffff,881126d335fffff,1.84,0.5
2022-02-01T10:02:00.000000,Food delivery,3,48.27654657546554,45.0,55.0,881126d191fffff,881126d1c3fffff,1.83,0.2
2022-02-01T10:03:00.000000,Food delivery,1,82.24116404283724,35.0,45.0,881126d22dfffff,881126d267fffff,1.8,0.2
2022-02-01T10:03:00.000000,Food delivery,1,65.10534354841919,30.0,40.0,881126d331fffff,881126d337fffff,1.82,0.2
2022-02-01T10:05:00.000000,Food delivery,1,77.36072896380769,50.0,60.0,881126d339fffff,881126d307fffff,1.78,0.2
2022-02-01T10:05:00.000000,Food delivery,3,38.887289748334936,40.0,50.0,881126d33dfffff,881126d32bfffff,1.77,0.2
2022-02-01T10:08:00.000000,Food delivery,2,102.09421176157446,50.0,60.0,881126d331fffff,881126d15dfffff,1.75,0.2
2022-02-01T10:10:00.000000,Food delivery,1,53.601092133745965,20.0,30.0,881126d06dfffff,881126d06dfffff,1.74,0.2
2022-02-01T10:18:00.000000,Food delivery,1,68.7019311042736,25.0,35.0,881126d069fffff,881126d061fffff,1.73,0.2
2022-02-01T10:19:00.000000,Food delivery,3,45.08442546704596,30.0,40.0,881126d345fffff,881126d36bfffff,1.74,0.2
2022-02-01T10:22:00.000000,Food delivery,3,48.69054886879654,45.0,55.0,881126d191fffff,881126d197fffff,1.75,0.2
2022-02-01T10:22:00.000000,Food delivery,1,100.46390212188224,40.0,50.0,881126d331fffff,881126d333fffff,1.76,0.2
2022-02-01T10:24:00.000000,Food delivery,1,67.31072896380769,40.0,50.0,881126d339fffff,881126d333fffff,1.78,0.2
2022-02-01T10:26:00.000000,Food delivery,2,59.820034145628355,40.0,50.0,881126d04dfffff,881126d045fffff,1.78,0.2
2022-02-01T10:31:00.000000,Food delivery,1,78.30840025791711,40.0,50.0,881126d33dfffff,881126d333fffff,1.78,0.2
2022-02-01T10:32:00.000000,Food delivery,1,20.0009035916561,20.0,30.0,881126d1c1fffff,881126d1c1fffff,1.79,0.2
2022-02-01T10:36:00.000000,Food delivery,2,22.148403309503426,30.0,40.0,881126d2a1fffff,881126d0c9fffff,1.77,0.2
2022-02-01T10:37:00.000000,Food delivery,2,83.99711694518969,35.0,45.0,881126d067fffff,881126d063fffff,1.76,0.2
2022-02-01T10:40:00.000000,Food delivery,1,69.35109213374595,15.0,25.0,881126d069fffff,881126d063fffff,1.74,0.2
2022-02-01T10:42:00.000000,Food delivery,4,77.78775288209452,45.0,55.0,881126d2e5fffff,881126d2ebfffff,1.73,0.2
2022-02-01T10:43:00.000000,Food delivery,1,39.44104543267236,40.0,50.0,881126d067fffff,881126d067fffff,1.72,0.2
2022-02-01T10:50:00.000000,Food delivery,1,59.33344588244366,40.0,50.0,881126d32bfffff,881126d361fffff,1.71,0.2
2022-02-01T10:51:00.000000,Food delivery,2,85.97760194255544,35.0,45.0,881126d22dfffff,881126d267fffff,1.71,0.2
2022-02-01T10:54:00.000000,Retail,1,1.0788290168031385,5.0,20.0,881126d04dfffff,881126d04dfffff,1.73,0.2
2022-02-01T10:54:00.000000,Food delivery,2,72.55395641493493,45.0,55.0,881126d307fffff,881126d303fffff,1.77,0.2
2022-02-01T10:59:00.000000,Food delivery,1,42.07598784741716,20.0,30.0,881126d331fffff,881126d331fffff,1.79,0.2
2022-02-01T11:00:00.000000,Retail,15,11.792214020970706,30.0,40.0,881126d363fffff,881126d305fffff,1.81,0.8
2022-02-01T11:01:00.000000,Food delivery,2,78.58867688181918,50.0,60.0,881126d219fffff,881126d203fffff,1.82,0.8
2022-02-01T11:03:00.000000,Food delivery,3,57.49765912048438,20.0,30.0,881126d339fffff,881126d339fffff,1.82,0.8
2022-02-01T11:05:00.000000,Food delivery,1,61.17418595775681,20.0,30.0,881126d061fffff,881126d06dfffff,1.82,0.8
2022-02-01T11:11:00.000000,Food delivery,1,24.834610048301027,35.0,45.0,881126d2a5fffff,881126d05bfffff,1.81,0.8
2022-02-01T11:15:00.000000,Food delivery,1,57.09521861976073,20.0,30.0,881126c353fffff,881126c353fffff,1.79,0.8
2022-02-01T11:19:00.000000,Food delivery,1,52.075299814800665,40.0,50.0,881126d305fffff,881126d347fffff,1.8,0.8
2022-02-01T11:25:00.000000,Food delivery,4,58.22449737613724,35.0,45.0,881126d211fffff,881126d257fffff,1.8,0.8
2022-02-01T11:33:00.000000,Food delivery,5,46.49116404283725,50.0,60.0,881126d331fffff,881126d06dfffff,1.8,0.8
2022-02-01T11:38:00.000000,Food delivery,2,57.39819396340087,45.0,55.0,881126d331fffff,881126d335fffff,1.81,0.8
2022-02-01T11:42:00.000000,Food delivery,3,43.58152729670087,45.0,55.0,881126d191fffff,881126c35bfffff,1.81,0.8
2022-02-01T11:47:00.000000,Food delivery,1,17.85783070953725,5.0,15.0,881126d331fffff,881126d331fffff,1.8,0.8
2022-02-01T11:50:00.000000,Food delivery,1,36.64116404283725,20.0,30.0,881126d331fffff,881126d33dfffff,1.8,0.8
2022-02-01T11:55:00.000000,Food delivery,1,30.106167461959245,35.0,45.0,881126d307fffff,881126d32bfffff,1.8,0.8
2022-02-01T11:56:00.000000,Food delivery,3,65.40783070953725,40.0,50.0,881126d263fffff,881126d201fffff,1.8,0.8
2022-02-01T12:01:00.000000,Retail,24,71.32877224594502,50.0,60.0,881126d209fffff,881126d24bfffff,1.81,0.4
2022-02-01T12:02:00.000000,Food delivery,1,14.305343548419186,5.0,10.0,881126d04dfffff,881126d04dfffff,1.82,0.4
2022-02-01T12:07:00.000000,Retail,34,74.48867688181917,70.0,80.0,881126d221fffff,881126d043fffff,1.82,0.4
2022-02-01T12:09:00.000000,Food delivery,1,32.855343548419185,40.0,50.0,881126d33dfffff,881126d333fffff,1.82,0.4
2022-02-01T12:17:00.000000,Food delivery,2,36.478022057287795,40.0,50.0,881126d067fffff,881126d00dfffff,1.82,0.4
2022-02-01T12:26:00.000000,Food delivery,2,41.7988719755361,30.0,40.0,881126d1ebfffff,881126d117fffff,1.81,0.4
2022-02-01T12:31:00.000000,Food delivery,1,18.27147588288676,25.0,35.0,881126d06bfffff,881126d045fffff,1.8,0.4
2022-02-01T12:47:00.000000,Food delivery,4,27.164860630000867,30.0,40.0,881126d04dfffff,881126d04dfffff,1.81,0.4
2022-02-01T12:53:00.000000,Food delivery,2,52.45534354841919,25.0,35.0,881126d307fffff,881126d30bfffff,1.82,0.4
2022-02-01T12:54:00.000000,Food delivery,1,22.694343420007026,20.0,30.0,881126d06bfffff,881126d061fffff,1.85,0.4
2022-02-01T12:54:00.000000,Food delivery,1,20.44596285690121,20.0,30.0,881126d345fffff,881126d369fffff,1.83,0.4
2022-02-01T12:58:00.000000,Food delivery,2,55.882858844486044,40.0,50.0,881126d331fffff,881126d061fffff,1.88,0.4
2022-02-01T13:08:00.000000,Food delivery,2,23.98700988668011,30.0,40.0,881126d337fffff,881126d06dfffff,1.92,0.0
2022-02-01T13:09:00.000000,Food delivery,2,25.216523974536198,35.0,45.0,881126d06bfffff,881126d33bfffff,1.95,0.0
2022-02-01T13:14:00.000000,Food delivery,1,15.904511692404384,15.0,25.0,881126d301fffff,881126d305fffff,1.97,0.0
2022-02-01T13:15:00.000000,Food delivery,2,39.11570496800555,20.0,30.0,881126d061fffff,881126d069fffff,1.98,0.0
2022-02-01T13:16:00.000000,Food delivery,2,21.164313649261764,25.0,35.0,881126d069fffff,881126d045fffff,2.02,0.0
2022-02-01T13:16:00.000000,Food delivery,1,44.58921880943718,25.0,35.0,881126d053fffff,881126d017fffff,2.0,0.0
2022-02-01T13:31:00.000000,Retail,4,27.46959191778398,35.0,45.0,881126d331fffff,881126d335fffff,2.06,0.0
2022-02-01T13:33:00.000000,Food delivery,1,31.252925251083976,20.0,30.0,881126d347fffff,881126d36bfffff,2.06,0.0
2022-02-01T13:33:00.000000,Food delivery,2,27.517862591625708,25.0,35.0,881126d159fffff,881126d333fffff,2.07,0.0
2022-02-01T13:34:00.000000,Food delivery,4,33.886258584483976,35.0,45.0,881126d191fffff,881126c351fffff,2.06,0.0
2022-02-01T13:52:00.000000,Food delivery,1,58.03234511569917,50.0,60.0,881126d307fffff,881126d26bfffff,2.11,0.0
2022-02-01T13:54:00.000000,Food delivery,1,17.348832059306616,25.0,35.0,881126d061fffff,881126d063fffff,2.1,0.0
2022-02-01T14:01:00.000000,Food delivery,4,38.299011782299175,55.0,65.0,881126d339fffff,881126d06bfffff,2.11,0.0
2022-02-01T14:02:00.000000,Food delivery,2,48.484198988231725,45.0,55.0,881126d331fffff,881126d315fffff,2.13,0.0
2022-02-01T14:04:00.000000,Food delivery,5,32.58808748295467,40.0,50.0,881126d20dfffff,881126d207fffff,2.15,0.0
2022-02-01T14:06:00.000000,Food delivery,3,21.714497598185957,35.0,45.0,881126d04dfffff,881126d227fffff,2.18,0.0
2022-02-01T14:08:00.000000,Food delivery,1,56.46830488557403,45.0,55.0,881126d191fffff,881126d0bdfffff,2.22,0.0
2022-02-01T14:09:00.000000,Food delivery,2,36.22285761998781,30.0,40.0,881126d0a9fffff,881126d0a5fffff,2.27,0.0
2022-02-01T14:09:00.000000,Food delivery,1,25.389383153528705,35.0,45.0,881126d06bfffff,881126d225fffff,2.25,0.0
2022-02-01T14:16:00.000000,Food delivery,1,55.1964516978169,35.0,45.0,881126c249fffff,881126c259fffff,2.31,0.0
2022-02-01T14:18:00.000000,Food delivery,5,45.15790157805483,25.0,35.0,881126d311fffff,881126d353fffff,2.32,0.0
2022-02-01T14:20:00.000000,Food delivery,1,37.345562913834826,25.0,35.0,881126d06dfffff,881126d317fffff,2.35,0.0
2022-02-01T14:25:00.000000,Food delivery,2,48.45674914158971,40.0,50.0,881126d339fffff,881126d335fffff,2.37,0.0
2022-02-01T14:25:00.000000,Food delivery,2,51.35344658739747,40.0,50.0,881126d1c1fffff,881126d0cdfffff,2.39,0.0
2022-02-01T14:27:00.000000,Retail,11,46.668968408051036,40.0,50.0,881126d209fffff,881126d20bfffff,2.41,0.0
2022-02-01T14:30:00.000000,Food delivery,1,24.97124394353777,30.0,40.0,881126d307fffff,881126d307fffff,2.44,0.0
2022-02-01T14:31:00.000000,Food delivery,1,23.0815813964281,35.0,45.0,881126d069fffff,881126d065fffff,2.48,0.0
2022-02-01T14:31:00.000000,Food delivery,3,36.70871560852717,35.0,45.0,881126d057fffff,881126d051fffff,2.46,0.0
2022-02-01T14:32:00.000000,Food delivery,3,21.373140658971764,25.0,35.0,881126d191fffff,881126d199fffff,2.5,0.0
2022-02-01T14:36:00.000000,Food delivery,1,25.189199957628126,25.0,35.0,881126d339fffff,881126d33dfffff,2.53,0.0
2022-02-01T14:37:00.000000,Food delivery,2,45.03919995762813,10.0,20.0,881126c35bfffff,881126c353fffff,2.53,0.0
2022-02-01T14:38:00.000000,Retail,21,33.489199957628124,40.0,50.0,881126d04dfffff,881126d23dfffff,2.53,0.0
2022-02-01T14:46:00.000000,Food delivery,1,20.005866624328124,30.0,40.0,881126d06bfffff,881126d061fffff,2.53,0.0
2022-02-01T14:47:00.000000,Retail,27,82.92800242853839,65.0,75.0,881126d209fffff,8808996d67fffff,2.51,0.0
2022-02-01T14:50:00.000000,Food delivery,1,22.985443225947655,30.0,40.0,881126d33dfffff,881126d33dfffff,2.49,0.0
2022-02-01T14:55:00.000000,Retail,17,34.45260585571129,45.0,55.0,881126d18bfffff,881126d1c1fffff,2.4,0.0
2022-02-01T14:55:00.000000,Food delivery,5,33.339720149849164,35.0,45.0,881126d20dfffff,881126d22bfffff,2.45,0.0
2022-02-01T14:57:00.000000,Food delivery,8,29.2048268021505,25.0,35.0,881126d0a9fffff,881126d0adfffff,2.38,0.0
2022-02-01T15:00:00.000000,Food delivery,2,34.61222958043483,35.0,45.0,881126d061fffff,881126d317fffff,2.35,0.0
2022-02-01T15:02:00.000000,Food delivery,2,44.70323751743051,45.0,55.0,881126d191fffff,881126d0b1fffff,2.33,0.0
2022-02-01T15:03:00.000000,Food delivery,2,32.29645169781689,20.0,30.0,881126d15bfffff,881126d065fffff,2.31,0.0
2022-02-01T15:04:00.000000,Food delivery,4,45.658546362923396,20.0,30.0,881126d31bfffff,881126d319fffff,2.29,0.0
2022-02-01T15:05:00.000000,Retail,19,31.939524286687814,30.0,40.0,881126d06bfffff,881126d06bfffff,2.27,0.0
2022-02-01T15:06:00.000000,Food delivery,1,37.018304885574025,45.0,55.0,881126d067fffff,881126d1c1fffff,2.22,0.0
2022-02-01T15:06:00.000000,Retail,7,16.489383153528706,25.0,35.0,881126d06dfffff,881126d061fffff,2.25,0.0
2022-02-01T15:07:00.000000,Food delivery,1,58.473653455774546,40.0,50.0,881126d219fffff,8808996d25fffff,2.2,0.0
2022-02-01T15:11:00.000000,Food delivery,2,45.10698678917454,30.0,40.0,881126d06dfffff,881126d06bfffff,2.2,0.0
2022-02-01T15:14:00.000000,Food delivery,1,20.268806874524326,25.0,35.0,881126d305fffff,881126d305fffff,2.19,0.0
2022-02-01T15:18:00.000000,Retail,21,74.02738854846683,50.0,60.0,881126d209fffff,8808996d61fffff,2.17,0.0
2022-02-01T15:19:00.000000,Food delivery,1,21.590808914842714,25.0,35.0,881126d225fffff,881126d319fffff,2.16,0.0
2022-02-01T15:22:00.000000,Retail,23,37.03808748295467,35.0,45.0,881126d04dfffff,881126d223fffff,2.15,0.0
2022-02-01T15:24:00.000000,Food delivery,1,69.83588596351255,45.0,55.0,881126d2e5fffff,881126d053fffff,2.14,0.0
2022-02-01T15:24:00.000000,Food delivery,2,38.11567844899918,20.0,30.0,881126d33dfffff,881126d335fffff,2.11,0.0
2022-02-01T15:25:00.000000,Food delivery,2,33.724410838050694,30.0,40.0,881126d337fffff,881126d333fffff,2.04,0.0
2022-02-01T15:25:00.000000,Food delivery,3,37.50119592492571,25.0,35.0,881126d333fffff,881126d333fffff,2.07,0.0
2022-02-01T15:29:00.000000,Food delivery,2,22.197646982661766,20.0,30.0,881126c35bfffff,881126c353fffff,2.02,0.0
2022-02-01T15:30:00.000000,Food delivery,2,72.31570496800555,30.0,40.0,881126d33dfffff,881126d337fffff,1.98,0.0
2022-02-01T15:30:00.000000,Food delivery,2,53.139218809437175,35.0,45.0,881126d339fffff,881126d061fffff,2.0,0.0
2022-02-01T15:34:00.000000,Food delivery,2,46.727011159782755,25.0,35.0,881126d339fffff,881126d307fffff,1.96,0.0
2022-02-01T15:35:00.000000,Food delivery,2,82.3230370485343,45.0,55.0,881126d2e5fffff,881126d237fffff,1.94,0.0
2022-02-01T15:36:00.000000,Food delivery,2,83.8897037152343,35.0,45.0,8808996d65fffff,8808996891fffff,1.94,0.0
2022-02-01T15:38:00.000000,Food delivery,1,14.429870277724007,35.0,45.0,881126d319fffff,881126d303fffff,1.93,0.0
2022-02-01T15:42:00.000000,Food delivery,2,58.93700988668011,40.0,50.0,881126d2a1fffff,881126d011fffff,1.92,0.0
2022-02-01T15:43:00.000000,Food delivery,1,32.40367655338011,15.0,25.0,881126d1c1fffff,881126d1c1fffff,1.92,0.0
2022-02-01T15:43:00.000000,Food delivery,2,54.33700988668011,40.0,50.0,881126d33dfffff,881126d305fffff,1.92,0.0
2022-02-01T15:46:00.000000,Food delivery,2,31.03970371523431,30.0,40.0,881126d315fffff,881126d311fffff,1.94,0.0
2022-02-01T15:48:00.000000,Food delivery,2,65.23784502570439,45.0,55.0,881126d20dfffff,881126d209fffff,1.97,0.0
2022-02-01T15:49:00.000000,Retail,2,29.143936679620545,25.0,35.0,881126d307fffff,881126d303fffff,1.99,0.0
2022-02-01T15:50:00.000000,Food delivery,5,42.48489628709498,45.0,55.0,881126d06bfffff,881126d001fffff,2.01,0.0
2022-02-01T15:51:00.000000,Food delivery,2,63.197646982661766,40.0,50.0,881126d061fffff,881126d15bfffff,2.02,0.0
2022-02-01T15:55:00.000000,Food delivery,3,37.70156295379498,40.0,50.0,881126d061fffff,881126d02dfffff,2.01,0.0
2022-02-01T15:55:00.000000,Food delivery,1,7.9558854761371745,10.0,15.0,881126d205fffff,881126d205fffff,2.0,0.0
2022-02-01T15:57:00.000000,Food delivery,4,16.682371634605552,15.0,30.0,881126d04dfffff,881126d04dfffff,1.98,0.0
2022-02-01T15:57:00.000000,Food delivery,4,69.14367782638276,45.0,55.0,881126d20dfffff,88089968b5fffff,1.96,0.0
2022-02-01T16:02:00.000000,Retail,12,72.77987027772402,25.0,35.0,881126d06dfffff,881126d061fffff,1.93,0.0
2022-02-01T16:05:00.000000,Food delivery,1,34.168818189948134,20.0,30.0,881126d311fffff,881126d311fffff,1.9,0.0
2022-02-01T16:05:00.000000,Retail,1,61.74345775256296,25.0,35.0,881126d067fffff,881126d069fffff,1.89,0.0
2022-02-01T16:12:00.000000,Food delivery,5,77.62679936719485,40.0,50.0,881126d001fffff,881126d001fffff,1.87,0.0
2022-02-01T16:12:00.000000,Food delivery,1,11.64346603389484,10.0,30.0,881126d04dfffff,881126d04dfffff,1.87,0.0
2022-02-01T16:12:00.000000,Food delivery,6,57.76013270049484,35.0,45.0,881126d331fffff,881126d335fffff,1.87,0.0
2022-02-01T16:19:00.000000,Retail,4,20.46013270049484,30.0,40.0,881126d04dfffff,881126d041fffff,1.87,0.0
2022-02-01T16:27:00.000000,Food delivery,3,28.94346603389484,25.0,35.0,881126d1ddfffff,881126d1c1fffff,1.87,0.0
2022-02-01T16:30:00.000000,Food delivery,2,57.87679936719484,30.0,40.0,881126d339fffff,881126d363fffff,1.87,0.0
2022-02-01T16:34:00.000000,Food delivery,1,40.55213727872226,30.0,40.0,881126d225fffff,881126d319fffff,1.86,0.0
2022-02-01T16:34:00.000000,Food delivery,4,28.70213727872226,20.0,25.0,881126d339fffff,881126d339fffff,1.86,0.0
2022-02-01T16:37:00.000000,Food delivery,2,35.05213727872226,45.0,55.0,881126d06bfffff,881126d055fffff,1.86,0.0
2022-02-01T16:38:00.000000,Food delivery,4,43.318803945322266,55.0,65.0,881126d20dfffff,881126d205fffff,1.86,0.0
2022-02-01T16:44:00.000000,Food delivery,7,32.50340179273586,25.0,35.0,881126d339fffff,881126d339fffff,1.84,0.0
2022-02-01T16:47:00.000000,Food delivery,1,46.37201021511919,25.0,35.0,881126d311fffff,881126d319fffff,1.82,0.0
2022-02-01T16:52:00.000000,Retail,4,48.52449737613725,30.0,40.0,881126d339fffff,881126d319fffff,1.8,0.0
2022-02-01T16:59:00.000000,Food delivery,2,41.35783070953725,35.0,45.0,881126d339fffff,881126d315fffff,1.8,0.0
2022-02-01T17:03:00.000000,Food delivery,1,63.5342369249561,20.0,30.0,881126d04dfffff,881126d04dfffff,1.79,0.7
2022-02-01T17:05:00.000000,Food delivery,2,33.84893607458781,30.0,40.0,881126c22dfffff,881126c353fffff,1.8,0.7
2022-02-01T17:06:00.000000,Food delivery,2,76.74272338475862,35.0,45.0,881126d305fffff,881126d307fffff,1.8,0.7
2022-02-01T17:06:00.000000,Food delivery,4,44.69065584107347,30.0,40.0,881126d331fffff,881126d33dfffff,1.8,0.7
2022-02-01T17:09:00.000000,Food delivery,4,59.065098712996566,35.0,45.0,881126d21dfffff,881126d215fffff,1.76,0.7
2022-02-01T17:09:00.000000,Food delivery,2,38.22062308163493,30.0,40.0,881126d045fffff,881126d045fffff,1.77,0.7
2022-02-01T17:14:00.000000,Food delivery,2,24.07437876597236,25.0,35.0,881126c249fffff,881126d0b3fffff,1.72,0.7
2022-02-01T17:16:00.000000,Food delivery,3,33.28372978783378,35.0,45.0,881126d311fffff,881126d319fffff,1.69,0.7
2022-02-01T17:17:00.000000,Food delivery,1,31.44763211499334,25.0,35.0,881126d333fffff,881126d337fffff,1.67,0.7
2022-02-01T17:20:00.000000,Food delivery,2,44.310233273103705,20.0,30.0,881126d337fffff,881126d331fffff,1.65,0.7
2022-02-01T17:20:00.000000,Food delivery,1,76.54356660650369,30.0,40.0,881126d221fffff,881126d205fffff,1.65,0.7
2022-02-01T17:22:00.000000,Food delivery,4,46.08569731811724,40.0,50.0,881126d191fffff,881126d197fffff,1.64,0.7
2022-02-01T17:23:00.000000,Food delivery,1,48.37868286137625,25.0,35.0,881126d061fffff,881126d067fffff,1.64,0.7
